CHANGENR,CHANGE_IND,LANGU,MANDANT,OBJECTCLAS,OBJECTID,TCODE,UDATE,USERNAME,UTIME,VERSION,_DATAAGING
0000735007,U,D,204,ADRESSE,ME020000129907,,06/01/2026,LEARN-800,16:08:16,000,00/00/0000
0000735010,U,D,204,ADRESSE,ME020000129908,ME21N,06/01/2026,LEARN-801,16:08:57,000,00/00/0000
0000735012,U,D,204,ADRESSE,ME020000129909,,06/01/2026,LEARN-800,16:09:19,000,00/00/0000
0000735015,U,D,204,ADRESSE,ME020000129910,ME21N,06/01/2026,LEARN-801,16:10:20,000,00/00/0000
0000735017,U,D,204,ADRESSE,ME020000129911,,06/01/2026,LEARN-800,16:10:21,000,00/00/0000
0000735022,U,D,204,ADRESSE,ME020000129912,ME21N,06/01/2026,LEARN-801,16:11:23,000,00/00/0000
0000735024,U,D,204,ADRESSE,ME020000129913,,06/01/2026,LEARN-800,16:11:26,000,00/00/0000
0000735027,U,D,204,ADRESSE,ME020000129914,ME21N,06/01/2026,LEARN-801,16:12:29,000,00/00/0000
0000735029,U,D,204,ADRESSE,ME020000129915,,06/01/2026,LEARN-800,16:12:31,000,00/00/0000
0000735034,U,D,204,ADRESSE,ME020000129916,ME21N,06/01/2026,LEARN-801,16:13:17,000,00/00/0000
0000735036,U,D,204,ADRESSE,ME020000129917,,06/01/2026,LEARN-800,16:13:39,000,00/00/0000
0000735039,U,D,204,ADRESSE,ME020000129918,ME21N,06/01/2026,LEARN-801,16:14:20,000,00/00/0000
0000735041,U,D,204,ADRESSE,ME020000129919,,06/01/2026,LEARN-800,16:14:40,000,00/00/0000
0000735044,U,D,204,ADRESSE,ME020000129920,ME21N,06/01/2026,LEARN-801,16:15:22,000,00/00/0000
0000735046,U,D,204,ADRESSE,ME020000129921,,06/01/2026,LEARN-800,16:15:42,000,00/00/0000
0000735049,U,D,204,ADRESSE,ME020000129922,ME21N,06/01/2026,LEARN-801,16:16:24,000,00/00/0000
0000735051,U,D,204,ADRESSE,ME020000129923,,06/01/2026,LEARN-800,16:16:45,000,00/00/0000
0000735054,U,D,204,ADRESSE,ME020000129924,ME21N,06/01/2026,LEARN-801,16:17:27,000,00/00/0000
0000735056,U,D,204,ADRESSE,ME020000129925,,06/01/2026,LEARN-800,16:17:48,000,00/00/0000
0000735059,U,D,204,ADRESSE,ME020000129926,ME21N,06/01/2026,LEARN-801,16:18:30,000,00/00/0000
0000735061,U,D,204,ADRESSE,ME020000129927,,06/01/2026,LEARN-800,16:18:50,000,00/00/0000
