ABSGR,AEDAT,ANGDT,BEDAT,BNDDT,BSART,BSTYP,BUKRS,BWBDT,DPAMT,DPDAT,DPPCT,EBELN,EKGRP,EKORG,ERNAM,GWLDT,IHRAN,KALSM,KDATB,KDATE,KNUMV,KTWRT,LANDS,LASTCHANGEDATETIME,LIFNR,LPONR,MANDT,PINCR,PROCSTAT,RETPC,RLWRT,SPRAS,STAFO,STATU,STCEG_L,UPINC,WAERS,WKURS,ZBD1P,ZBD1T,ZBD2P,ZBD2T,ZBD3T,ZTERM
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000275,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000294,0.00,US,"20,260,601,110,113.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000276,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000295,0.00,US,"20,260,601,113,959.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000277,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000296,0.00,US,"20,260,601,111,452.0000000",0000112800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000278,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000297,0.00,US,"20,260,601,112,352.0000000",0001003070,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000279,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000298,0.00,US,"20,260,601,125,304.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000280,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000299,0.00,US,"20,260,601,150,951.0000000",0000112800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000281,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000300,0.00,US,"20,260,602,080,800.0000000",0000103800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/01/2026,00/00/0000,06/01/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000282,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000301,0.00,US,"20,260,601,163,933.0000000",0000107800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000283,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000302,0.00,US,"20,260,602,081,900.0000000",0000109800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
00,06/02/2026,00/00/0000,06/02/2026,00/00/0000,NB,F,US00,00/00/0000,0.00,00/00/0000,0.00,4500000284,N00,US00,buyer_mi00,00/00/0000,00/00/0000,RM0000,00/00/0000,00/00/0000,1000000303,0.00,US,"20,260,602,102,000.0000000",0000101800,00010,204,00010,02,0.00,0.00,E,SAP,9,US,00001,USD,1.00000,0.000,0,0.000,0,0,0001
